record_id,date,category,value,unit,source,status
R0000794,2022-01-29,admission,2.7,points,system_b,cancelled
R0000748,2022-11-30,discharge,,count,manual_entry,cancelled
R0000531,2022-06-03,medication,490.95,ml,import_batch,ok
R0000181,2022-03-03,IMAGING,69.54,count,system_c,pending
R0000543,2022-02-26,billing,951.8,EUR,manual_entry,cancelled
R0000369,2022-01-29,discharge,1.29,points,import_batch,review
R0000831,2022-06-28,BILLING,3364.73,EUR,,pending
R0000330,2022-08-07,transfer,6.17,points,import_batch,ok
R0000966,2022-01-26,discharge,,min,system_b,rejected
R0000485,2022-06-19,admission,4.06,points,import_batch,ok
R0000069,2022-10-27,medication,479.5,mg,manual_entry,ok
R0001182,2022-02-02,imaging ,21.08,count,import_batch,rejected
R0000158,2022-04-23,follow-up,50.54,min,manual_entry,
R0000533,2022-05-07,IMAGING,63.02,min,import_batch,rejected
R0000241,2022-12-18,discharge ,6.64,points,manual_entry,rejected
R0000357,2022-08-07,admission ,8.39,count,system_a,review
R0001112,2022-06-14,follow-up,43.38,count,system_c,cancelled
R0000865,2022-11-13,medication ,687.04,mg,system_a,cancelled
R0000731,2022-05-19,follow_up,86.11,count,system_b,ok
R0000891,2022-05-14,admission,9.07,count,system_c,cancelled
R0000509,2022-08-09,medication,308.79,dose,,rejected
R0000667,2022-12-19,follow-up,28.26,count,SYSTEM_B,pending
R0000398,2022-02-26,discharge,4.98,min,system_c,cancelled
R0000665,2022-12-19,lab_test,24.21,g/dL,system_a,review
R0000305,2022-08-23,transfer,8.95,count,system_a,ok
R0000014,2022-10-12,admission,5.37,count,MANUAL_ENTRY,rejected
R0000051, 2022-09-05 ,lab_test,2.42,mg/L,system_a,cancelled
R0000556,2022-10-03,medication,295.6,ml,,cancelled
R0000225,2022-01-06,imaging,62.25,min,manual_entry,review
R0001022,2022-06-19,billing,440.72,EUR,MANUAL_ENTRY,rejected
R0000075,2022-08-15,transfer,8.95,points,,rejected
R0000200,2022-02-04,labtest,24.61,mmol/L,manual_entry,pending
R0001194,2022-05-10,admission,4.73,points,system_b,pending
R0000493,18/01/2022,medication,607.38,mg,system_b,pending
R0000413,2022-06-17,follow_up,33.27,min,system_b,review
R0000587,2022-10-11,medication,649.26,mg,import_batch,pending
R0001132,2022-06-22,lab_test,14.2,g/dL,system_b,rejected
R0000921,2022-02-25,lab_test,,g/dL,system_c,Cancelled
R0000964,2022-07-18,lab_test,,mg/L,import_batch,ok
R0000623,2022-06-04,transfer,9.65,min,,ok
R0000588,2022-09-12,billing,2215.59,USD,system_a,ok
R0000316,2022-08-03,billing,841.5,USD,system_c,pending
R0000006,2022-02-26,imaging,39.13,min,system_b,
R0000192,2022-09-12,billing,22349.09,USD,IMPORT_BATCH,review
R0000681,2022-08-25,medication,323.06,dose,system_c,cancelled
R0000479,23/11/2022,discharge ,6.81,min,system_c,rejected
R0001016,30/03/2022,billing,3217.2,USD,system_a,cancelled
R0000283,2022-01-17,admission,-2.13,count,system_a,rejected
R0000796,2022-01-30,discharge,,points,system_c,OK
R0000410,2022-06-07,medication,375.33,mg,system_b,cancelled
R0000695,2022-03-29,billing,1036.16,SEK,system_a,review
R0001002,2022-10-26,follow-up,94.19,min,manual_entry,rejected
R0000500,2022-06-19,follow_up,31.75,min,manual_entry,
R0000364,2022-03-29,follow-up,71.98,min,SYSTEM_B,ok
R0000616, 2022-12-04 ,transfer,7.97,min,system_a,pending
R0000145,2022-07-17,medication ,449.39,mg,,ok
R0000654,2022-04-21,transfer,2.44,min,system_a,review
R0000132,2022-09-03,transfer,1.83,min,import_batch,review
R0000242,2022-12-11,follow_up,5.43,count,system_b,OK
R0000180,2022-06-12,discharge,8.38,points,system_b,rejected
R0000738,2022-02-07,billing,1436.71,USD,system_c,ok
R0000745,2022-04-22,DISCHARGE,1.36,points,system_c,pending
R0000346,01/07/2022,imaging,13.92,min,manual_entry,ok
R0000702,2022-03-10,TRANSFER,5.24,count,manual_entry,ok
R0000066,2022-10-11,TRANSFER,2.1,min,import_batch,pending
R0000065,2022-12-18,billing,2103.68,USD,SYSTEM_C,pending
R0000523,2022-04-10,billing,838.01,USD,manual_entry,review
R0000535,2022-07-19,discharge ,6.3,points,import_batch,ok
R0000261,2022-06-23,transfer,3.76,min,system_a,pending
R0000922,2022-07-02,billing,3162.79,EUR,system_c,pending
R0000583,2022-04-12,medication,451.97,ml,system_b,cancelled
R0000318,2022-10-23,follow_up,0.66,count,SYSTEM_B,ok
R0000758,2022-09-29,discharge,8.38,points,system_b,review
R0001049,2022-02-23,billing ,803.17,SEK,manual_entry,cancelled
R0001141,2022-01-26,discharge,6.56,count,manual_entry,
R0000019,2022-06-20,lab_test,8.64,g/dL,system_c,rejected
R0000800,2022-07-29,follow_up,33.78,min,system_b,review
R0000472,2022-01-05,lab_test,14.65,mg/L,import_batch,cancelled
R0000501,14/03/2022,imaging,62.97,count, system_b,ok
R0000792,2022-02-14,transfer ,7.13,points,system_c,rejected
R0000361,2022-01-23,imaging,77.78,count,system_b,rejected
R0000064,23/12/2022,follow_up,11.67,min,system_a,rejected
R0000206,2022-03-25,discharge,6.35,count,system_c,ok
R0001180,2022-04-15,ADMISSION,4.89,min,system_b,review
R0000492,2022-08-13,follow_up,19.44,points,system_b,ok
R0000962,2022-12-11,transfer,3.39,count,manual_entry,review
R0000083,2022-05-26,follow_up,37.29,points,IMPORT_BATCH,cancelled
R0000514,23/11/2022,discharge,7.76,min,manual_entry,
R0000274,2022-11-29,follow_up,33.47,count,system_c,review
R0000312,2022-10-20,discharge ,5.41,min,manual_entry,cancelled
R0000597,2022-02-17,discharge,5.66,count,SYSTEM_B,pending
